[Video Information]
width: 20
height: 46

Frames: 911 to 912
x: 41
y: 93
width: 20
height: 46

Frame: 913
x: 40
y: 93
width: 20
height: 46

Frames: 914 to 915
x: 39
y: 93
width: 20
height: 46

Frame: 916
x: 37
y: 93
width: 20
height: 46

Frame: 917
x: 37
y: 92
width: 20
height: 46

Frame: 918
x: 36
y: 92
width: 20
height: 46

Frame: 919
x: 35
y: 92
width: 20
height: 46

Frame: 920
x: 33
y: 91
width: 20
height: 46

Frame: 921
x: 30
y: 91
width: 20
height: 46

Frame: 922
x: 29
y: 91
width: 20
height: 46

Frame: 923
x: 28
y: 91
width: 20
height: 46

Frame: 924
x: 27
y: 91
width: 20
height: 46

Frame: 925
x: 25
y: 91
width: 20
height: 46

Frame: 926
x: 21
y: 91
width: 20
height: 46

Frame: 927
x: 18
y: 91
width: 20
height: 46

Frames: 928 to 929
x: 17
y: 91
width: 20
height: 46

Frame: 930
x: 16
y: 91
width: 20
height: 46

Frame: 931
x: 15
y: 91
width: 20
height: 46

Frame: 932
x: 12
y: 91
width: 20
height: 46

Frame: 933
x: 11
y: 91
width: 20
height: 46

Frame: 934
x: 9
y: 91
width: 20
height: 46

Frame: 935
x: 8
y: 91
width: 20
height: 46

Frames: 936 to 937
x: 3
y: 91
width: 20
height: 46

Frame: 938
x: 2
y: 91
width: 20
height: 46

Frame: 939
x: 0
y: 91
width: 19
height: 46

Frame: 940
x: 0
y: 91
width: 16
height: 46

Frame: 941
x: 0
y: 91
width: 14
height: 46

Object Number #33
Region Description:
Region 33
Start Frame:796
End Frame:881
Region Descriptors (0):
Region frames data
Frame: 796
x: 285
y: 99
width: 14
height: 36

Frames: 797 to 799
x: 287
y: 100
width: 14
height: 36

Frame: 800
x: 287
y: 101
width: 14
height: 36

Frames: 801 to 802
x: 288
y: 101
width: 14
height: 36

Frames: 803 to 804
x: 288
y: 101
width: 17
height: 39

Frame: 805
x: 289
y: 101
width: 17
height: 39

Frames: 806 to 809
x: 290
y: 101
width: 17
height: 39

Frame: 810
x: 291
y: 101
width: 17
height: 39

Frame: 811
x: 292
y: 102
width: 17
height: 39

Frames: 812 to 813
x: 293
y: 99
width: 18
height: 42

Frames: 814 to 815
x: 294
y: 99
width: 18
height: 42

Frame: 816
x: 295
y: 99
width: 18
height: 42

Frames: 817 to 818
x: 295
y: 100
width: 18
height: 42

Frame: 819
x: 297
y: 100
width: 18
height: 42

Frame: 820
x: 297
y: 101
width: 18
height: 42

Frames: 821 to 823
x: 296
y: 99
width: 19
height: 44

Frame: 824
x: 297
y: 99
width: 19
height: 44

Frame: 825
x: 297
y: 100
width: 20
height: 46

Frame: 826
x: 298
y: 100
width: 20
height: 46

Frames: 827 to 829
x: 299
y: 101
width: 20
height: 46

Frames: 830 to 831
x: 302
y: 101
width: 21
height: 48

Frame: 832
x: 302
y: 101
width: 23
height: 53

Frame: 833
x: 303
y: 101
width: 23
height: 53

Frame: 834
x: 305
y: 102
width: 23
height: 53

Frame: 835
x: 306
y: 102
width: 23
height: 53

Frame: 836
x: 307
y: 103
width: 25
height: 54

Frame: 837
x: 311
y: 104
width: 25
height: 54

Frame: 838
x: 311
y: 105
width: 25
height: 54

Frame: 839
x: 311
y: 97
width: 27
height: 62

Frame: 840
x: 313
y: 97
width: 27
height: 62

Frames: 841 to 842
x: 314
y: 98
width: 27
height: 62

Frame: 843
x: 315
y: 98
width: 27
height: 62

Frame: 844
x: 316
y: 99
width: 27
height: 62

Frame: 845
x: 317
y: 99
width: 29
height: 69

Frames: 846 to 847
x: 320
y: 99
width: 29
height: 69

Frame: 848
x: 321
y: 99
width: 29
height: 69

Frame: 849
x: 322
y: 99
width: 29
height: 69

Frame: 850
x: 326
y: 99
width: 29
height: 76

Frame: 851
x: 329
y: 99
width: 29
height: 76

Frame: 852
x: 332
y: 99
width: 29
height: 76

Frames: 853 to 856
x: 333
y: 99
width: 34
height: 80

Frame: 857
x: 335
y: 100
width: 34
height: 80

Frame: 858
x: 336
y: 100
width: 36
height: 84

Frame: 859
x: 339
y: 101
width: 36
height: 84

Frames: 860 to 861
x: 340
y: 101
width: 36
height: 84

Frame: 862
x: 341
y: 103
width: 36
height: 84

Frame: 863
x: 343
y: 104
width: 40
height: 92

Frame: 864
x: 347
y: 105
width: 40
height: 92

Frame: 865
x: 350
y: 105
width: 40
height: 92

Frame: 866
x: 353
y: 105
width: 45
height: 103

Frame: 867
x: 358
y: 105
width: 45
height: 103

Frame: 868
x: 361
y: 106
width: 45
height: 103

Frame: 869
x: 363
y: 106
width: 46
height: 105

Frame: 870
x: 369
y: 107
width: 46
height: 105

Frame: 871
x: 372
y: 107
width: 46
height: 105

Frame: 872
x: 377
y: 106
width: 49
height: 114

Frame: 873
x: 383
y: 106
width: 49
height: 114

Frame: 874
x: 390
y: 106
width: 49
height: 114

Frame: 875
x: 396
y: 107
width: 49
height: 114

Frame: 876
x: 406
y: 107
width: 54
height: 123

Frame: 877
x: 410
y: 107
width: 54
height: 123

Frame: 878
x: 414
y: 108
width: 54
height: 123

Frame: 879
x: 423
y: 108
width: 57
height: 127

Frame: 880
x: 433
y: 108
width: 44
height: 126

Frame: 881
x: 445
y: 108
width: 32
height: 126

Object Number #34
Region Description:
Region 34
Start Frame:780
End Frame:1204
Region Descriptors (0):
Region frames data
Frame: 780
x: 2
y: 99
width: 36
height: 92

Frame: 781
x: 4
y: 99
width: 36
height: 92

Frame: 782
x: 6
y: 99
width: 36
height: 92

Frame: 783
x: 12
y: 99
width: 36
height: 92

Frame: 784
x: 17
y: 99
width: 36
height: 92

Frame: 785
x: 25
y: 99
width: 36
height: 92

Frame: 786
x: 27
y: 98
width: 36
height: 92

Frame: 787
x: 31
y: 98
width: 36
height: 92

Frame: 788
x: 34
y: 98
width: 36
height: 92

Frame: 789
x: 39
y: 98
width: 36
height: 92

Frame: 790
x: 41
y: 98
width: 36
height: 92

Frame: 791
x: 45
y: 98
width: 36
height: 92

Frame: 792
x: 49
y: 98
width: 36
height: 92

Frame: 793
x: 56
y: 98
width: 36
height: 92

Frame: 794
x: 60
y: 98
width: 36
height: 92

Frame: 795
x: 61
y: 98
width: 36
height: 92

Frame: 796
x: 66
y: 98
width: 36
height: 92

Frame: 797
x: 70
y: 98
width: 36
height: 92

Frame: 798
x: 73
y: 98
width: 36
height: 92

Frame: 799
x: 75
y: 97
width: 36
height: 92

Frame: 800
x: 77
y: 97
width: 36
height: 92

Frame: 801
x: 82
y: 97
width: 36
height: 92

Frame: 802
x: 88
y: 97
width: 36
height: 92

Frame: 803
x: 95
y: 97
width: 36
height: 92

Frame: 804
x: 98
y: 97
width: 36
height: 92

Frame: 805
x: 102
y: 97
width: 36
height: 92

Frame: 806
x: 108
y: 97
width: 36
height: 92

Frame: 807
x: 111
y: 101
width: 36
height: 89

Frame: 808
x: 112
y: 101
width: 36
height: 89

Frame: 809
x: 116
y: 101
width: 36
height: 89

Frame: 810
x: 119
y: 101
width: 36
height: 89

Frame: 811
x: 123
y: 101
width: 36
height: 89

Frame: 812
x: 126
y: 101
width: 36
height: 89

Frame: 813
x: 128
y: 101
width: 36
height: 89

Frame: 814
x: 135
y: 100
width: 36
height: 89

Frame: 815
x: 138
y: 99
width: 36
height: 89

Frame: 816
x: 140
y: 99
width: 36
height: 89

Frame: 817
x: 142
y: 99
width: 36
height: 89

Frame: 818
x: 146
y: 99
width: 36
height: 89

Frame: 819
x: 149
y: 99
width: 36
height: 89

Frame: 820
x: 152
y: 99
width: 36
height: 89

Frame: 821
x: 155
y: 99
width: 36
height: 89

Frame: 822
x: 156
y: 99
width: 32
height: 89

Frame: 823
x: 159
y: 99
width: 32
height: 89

Frame: 824
x: 164
y: 99
width: 32
height: 89

Frame: 825
x: 167
y: 99
width: 32
height: 89

Frame: 826
x: 170
y: 99
width: 32
height: 89

Frame: 827
x: 174
y: 99
width: 32
height: 89

Frame: 828
x: 175
y: 99
width: 32
height: 89

Frame: 829
x: 178
y: 99
width: 32
height: 89

Frame: 830
x: 183
y: 99
width: 32
height: 89

Frame: 831
x: 186
y: 96
width: 36
height: 96

Frame: 832
x: 188
y: 96
width: 36
height: 96

Frame: 833
x: 194
y: 96
width: 36
height: 96

Frame: 834
x: 195
y: 100
width: 36
height: 93

Frame: 835
x: 197
y: 100
width: 36
height: 93

Frame: 836
x: 202
y: 100
width: 36
height: 93

Frame: 837
x: 205
y: 101
width: 36
height: 93

Frame: 838
x: 210
y: 103
width: 36
height: 93

Frame: 839
x: 213
y: 107
width: 36
height: 93

Frame: 840
x: 211
y: 100
width: 40
height: 101

Frame: 841
x: 213
y: 102
width: 40
height: 101

Frame: 842
x: 216
y: 103
width: 40
height: 101

Frame: 843
x: 217
y: 103
width: 40
height: 101

Frame: 844
x: 220
y: 103
width: 33
height: 101

Frame: 845
x: 222
y: 103
width: 33
height: 101

Frames: 846 to 847
x: 223
y: 103
width: 33
height: 101

Frames: 848 to 849
x: 224
y: 103
width: 33
height: 101

Frames: 850 to 851
x: 226
y: 102
width: 33
height: 101

Frames: 852 to 856
x: 227
y: 102
width: 33
height: 101

Frames: 857 to 859
x: 223
y: 103
width: 38
height: 101

Frame: 860
x: 221
y: 103
width: 39
height: 103

Frames: 861 to 1112
x: 221
y: 103
width: 38
height: 101

Frames: 1113 to 1121
x: 218
y: 104
width: 38
height: 101

Frame: 1122
x: 219
y: 104
width: 38
height: 101

Frame: 1123
x: 220
y: 104
width: 38
height: 101

Frame: 1124
x: 222
y: 104
width: 38
height: 101

Frame: 1125
x: 223
y: 104
width: 38
height: 101

Frames: 1126 to 1138
x: 228
y: 103
width: 36
height: 108

Frame: 1139
x: 229
y: 97
width: 38
height: 114

Frame: 1140
x: 231
y: 97
width: 38
height: 114

Frame: 1141
x: 233
y: 95
width: 38
height: 114

Frame: 1142
x: 235
y: 95
width: 38
height: 114

Frame: 1143
x: 237
y: 95
width: 38
height: 114

Frame: 1144
x: 238
y: 95
width: 38
height: 114

Frame: 1145
x: 239
y: 95
width: 38
height: 114

Frame: 1146
x: 242
y: 94
width: 38
height: 114

Frames: 1147 to 1148
x: 245
y: 94
width: 38
height: 114

Frame: 1149
x: 246
y: 94
width: 38
height: 114

Frame: 1150
x: 250
y: 94
width: 38
height: 114

Frame: 1151
x: 251
y: 98
width: 37
height: 110

Frame: 1152
x: 252
y: 98
width: 37
height: 110

Frame: 1153
x: 253
y: 98
width: 37
height: 110

Frame: 1154
x: 256
y: 98
width: 37
height: 110

Frame: 1155
x: 257
y: 98
width: 37
height: 110

Frame: 1156
x: 260
y: 98
width: 37
height: 110

Frame: 1157
x: 262
y: 98
width: 37
height: 110

Frame: 1158
x: 263
y: 98
width: 37
height: 110

Frame: 1159
x: 265
y: 98
width: 37
height: 110

Frame: 1160
x: 268
y: 98
width: 37
height: 110

Frame: 1161
x: 270
y: 98
width: 37
height: 110

Frame: 1162
x: 274
y: 98
width: 37
height: 110

Frame: 1163
x: 276
y: 98
width: 37
height: 110

Frame: 1164
x: 277
y: 98
width: 37
height: 110

Frame: 1165
x: 278
y: 98
width: 37
height: 110

Frame: 1166
x: 283
y: 98
width: 37
height: 110

Frame: 1167
x: 284
y: 98
width: 37
height: 110

Frame: 1168
x: 285
y: 98
width: 37
height: 110

Frame: 1169
x: 288
y: 100
width: 37
height: 110

Frame: 1170
x: 291
y: 101
width: 37
height: 110

Frame: 1171
x: 294
y: 102
width: 37
height: 110

Frame: 1172
x: 301
y: 102
width: 37
height: 110

Frame: 1173
x: 302
y: 101
width: 37
height: 110

Frame: 1174
x: 305
y: 101
width: 37
height: 110

Frame: 1175
x: 309
y: 101
width: 37
height: 110

Frame: 1176
x: 312
y: 101
width: 37
height: 110

Frame: 1177
x: 315
y: 102
width: 37
height: 110

Frame: 1178
x: 321
y: 102
width: 37
height: 110

Frame: 1179
x: 330
y: 102
width: 37
height: 110

Frame: 1180
x: 331
y: 102
width: 37
height: 110

Frame: 1181
x: 334
y: 102
width: 41
height: 112

Frame: 1182
x: 337
y: 102
width: 41
height: 112

Frame: 1183
x: 340
y: 101
width: 41
height: 112

Frame: 1184
x: 345
y: 101
width: 41
height: 112

Frame: 1185
x: 347
y: 101
width: 41
height: 112

Frame: 1186
x: 348
y: 101
width: 41
height: 112

Frame: 1187
x: 353
y: 100
width: 41
height: 112

Frame: 1188
x: 359
y: 100
width: 41
height: 112

Frame: 1189
x: 361
y: 100
width: 41
height: 112

Frame: 1190
x: 365
y: 100
width: 41
height: 112

Frame: 1191
x: 373
y: 100
width: 42
height: 117

Frame: 1192
x: 378
y: 100
width: 42
height: 117

Frame: 1193
x: 384
y: 101
width: 42
height: 117

Frame: 1194
x: 394
y: 100
width: 42
height: 117

Frame: 1195
x: 403
y: 99
width: 44
height: 122

Frame: 1196
x: 409
y: 100
width: 44
height: 122

Frame: 1197
x: 412
y: 100
width: 44
height: 122

Frame: 1198
x: 416
y: 100
width: 44
height: 122

Frame: 1199
x: 420
y: 102
width: 44
height: 122

Frame: 1200
x: 426
y: 102
width: 47
height: 125

Frames: 1201 to 1202
x: 432
y: 104
width: 47
height: 125

Frame: 1203
x: 437
y: 104
width: 44
height: 125

Frame: 1204
x: 443
y: 104
width: 38
height: 125

Object Number #35
Region Description:
Region 35
Start Frame:784
End Frame:1222
Region Descriptors (0):
Region frames data
Frame: 784
x: -1
y: 97
width: 32
height: 103

Frame: 785
x: -1
y: 97
width: 40
height: 103

Frame: 786
x: -1
y: 97
width: 44
height: 103

Frame: 787
x: 0
y: 97
width: 47
height: 103

Frame: 788
x: 8
y: 97
width: 47
height: 103

Frame: 789
x: 9
y: 97
width: 47
height: 103

Frame: 790
x: 13
y: 97
width: 47
height: 103

Frame: 791
x: 15
y: 97
width: 47
height: 103

Frame: 792
x: 20
y: 97
width: 47
height: 103

Frame: 793
x: 26
y: 98
width: 47
height: 103

Frame: 794
x: 29
y: 98
width: 47
height: 103

Frame: 795
x: 33
y: 98
width: 47
height: 103

Frame: 796
x: 37
y: 98
width: 47
height: 103

Frame: 797
x: 41
y: 98
width: 47
height: 103

Frame: 798
x: 47
y: 99
width: 47
height: 103

Frame: 799
x: 52
y: 99
width: 47
height: 103

Frame: 800
x: 54
y: 99
width: 47
height: 103

Frame: 801
x: 60
y: 99
width: 47
height: 103

Frame: 802
x: 62
y: 99
width: 47
height: 103

Frame: 803
x: 65
y: 99
width: 47
height: 103

Frame: 804
x: 68
y: 99
width: 47
height: 103

Frame: 805
x: 73
y: 98
width: 47
height: 103

Frame: 806
x: 80
y: 93
width: 43
height: 105

Frame: 807
x: 86
y: 94
width: 43
height: 105

Frame: 808
x: 89
y: 95
width: 43
height: 105

Frame: 809
x: 91
y: 95
width: 43
height: 105

Frame: 810
x: 93
y: 95
width: 43
height: 105

Frame: 811
x: 97
y: 95
width: 43
height: 105

Frame: 812
x: 99
y: 95
width: 43
height: 105

Frame: 813
x: 102
y: 95
width: 43
height: 105

Frame: 814
x: 108
y: 95
width: 43
height: 105

Frame: 815
x: 111
y: 95
width: 43
height: 105

Frame: 816
x: 116
y: 93
width: 41
height: 107

Frame: 817
x: 119
y: 93
width: 41
height: 107

Frame: 818
x: 121
y: 93
width: 41
height: 107

Frame: 819
x: 122
y: 93
width: 41
height: 107

Frame: 820
x: 123
y: 92
width: 41
height: 107

Frame: 821
x: 125
y: 91
width: 41
height: 107

Frame: 822
x: 128
y: 94
width: 39
height: 103

Frame: 823
x: 132
y: 92
width: 39
height: 103

Frame: 824
x: 134
y: 92
width: 39
height: 103

Frame: 825
x: 134
y: 93
width: 39
height: 103

Frame: 826
x: 135
y: 94
width: 39
height: 103

Frame: 827
x: 137
y: 94
width: 39
height: 103

Frame: 828
x: 140
y: 95
width: 39
height: 103

Frame: 829
x: 141
y: 95
width: 39
height: 103

Frame: 830
x: 142
y: 95
width: 39
height: 103

Frame: 831
x: 143
y: 95
width: 39
height: 103

Frame: 832
x: 144
y: 95
width: 39
height: 103

Frame: 833
x: 145
y: 95
width: 39
height: 103

Frame: 834
x: 150
y: 95
width: 35
height: 103

Frame: 835
x: 152
y: 96
width: 35
height: 103

Frame: 836
x: 153
y: 96
width: 35
height: 103

Frame: 837
x: 154
y: 96
width: 35
height: 103

Frame: 838
x: 156
y: 94
width: 35
height: 103

Frame: 839
x: 158
y: 94
width: 35
height: 103

Frame: 840
x: 159
y: 94
width: 35
height: 103

Frame: 841
x: 161
y: 94
width: 35
height: 103

Frame: 842
x: 162
y: 94
width: 35
height: 103

Frame: 843
x: 164
y: 94
width: 35
height: 103

Frame: 844
x: 165
y: 93
width: 35
height: 103

Frame: 845
x: 167
y: 93
width: 35
height: 103

Frame: 846
x: 169
y: 93
width: 35
height: 103

Frame: 847
x: 170
y: 93
width: 35
height: 103

Frame: 848
x: 174
y: 93
width: 35
height: 103

Frame: 849
x: 176
y: 93
width: 35
height: 103

Frame: 850
x: 178
y: 93
width: 35
height: 103

Frame: 851
x: 182
y: 93
width: 35
height: 103

Frame: 852
x: 183
y: 93
width: 35
height: 103

Frames: 853 to 1133
x: 184
y: 93
width: 35
height: 103

Frame: 1134
x: 186
y: 93
width: 35
height: 103

Frame: 1135
x: 186
y: 92
width: 35
height: 103

Frames: 1136 to 1139
x: 188
y: 92
width: 35
height: 103

Frame: 1140
x: 190
y: 91
width: 35
height: 103

Frame: 1141
x: 191
y: 92
width: 32
height: 102

Frames: 1142 to 1147
x: 193
y: 92
width: 32
height: 102

Frame: 1148
x: 196
y: 92
width: 32
height: 102

Frame: 1149
x: 199
y: 93
width: 29
height: 96

Frames: 1150 to 1151
x: 200
y: 92
width: 29
height: 96

Frame: 1152
x: 202
y: 92
width: 29
height: 96

Frame: 1153
x: 203
y: 92
width: 29
height: 96

Frame: 1154
x: 205
y: 91
width: 29
height: 96

Frame: 1155
x: 209
y: 95
width: 29
height: 90

Frame: 1156
x: 210
y: 94
width: 29
height: 90

Frame: 1157
x: 211
y: 94
width: 29
height: 90

Frame: 1158
x: 212
y: 93
width: 29
height: 90

Frame: 1159
x: 216
y: 93
width: 29
height: 90

Frame: 1160
x: 216
y: 92
width: 29
height: 90

Frame: 1161
x: 217
y: 92
width: 29
height: 90

Frame: 1162
x: 220
y: 91
width: 29
height: 90

Frame: 1163
x: 224
y: 93
width: 27
height: 86

Frames: 1164 to 1165
x: 226
y: 93
width: 27
height: 86

Frame: 1166
x: 228
y: 92
width: 27
height: 86

Frame: 1167
x: 230
y: 92
width: 27
height: 86

Frame: 1168
x: 232
y: 92
width: 27
height: 86

Frame: 1169
x: 236
y: 92
width: 27
height: 86

Frame: 1170
x: 240
y: 91
width: 27
height: 86

Frame: 1171
x: 243
y: 90
width: 27
height: 86

Frame: 1172
x: 246
y: 89
width: 30
height: 83

Frame: 1173
x: 254
y: 96
width: 23
height: 75

Frame: 1174
x: 256
y: 96
width: 20
height: 74

Frame: 1175
x: 259
y: 95
width: 20
height: 74

Frame: 1176
x: 261
y: 95
width: 20
height: 74

Frame: 1177
x: 265
y: 95
width: 20
height: 74

Frame: 1178
x: 268
y: 95
width: 20
height: 74

Frame: 1179
x: 271
y: 94
width: 20
height: 74

Frame: 1180
x: 271
y: 94
width: 22
height: 69

Frame: 1181
x: 273
y: 94
width: 22
height: 69

Frame: 1182
x: 277
y: 94
width: 22
height: 69

Frame: 1183
x: 281
y: 93
width: 22
height: 69

Frame: 1184
x: 285
y: 92
width: 23
height: 63

Frame: 1185
x: 288
y: 92
width: 23
height: 63

Frame: 1186
x: 291
y: 92
width: 23
height: 63

Frames: 1187 to 1188
x: 292
y: 92
width: 23
height: 63

Frame: 1189
x: 295
y: 91
width: 23
height: 63

Frame: 1190
x: 297
y: 91
width: 23
height: 63

Frames: 1191 to 1192
x: 299
y: 91
width: 23
height: 63

Frame: 1193
x: 304
y: 91
width: 23
height: 63

Frame: 1194
x: 308
y: 90
width: 23
height: 63

Frame: 1195
x: 309
y: 93
width: 23
height: 60

Frames: 1196 to 1203
x: 311
y: 92
width: 23
height: 60

Frames: 1204 to 1207
x: 310
y: 91
width: 23
height: 60

Frames: 1208 to 1209
x: 313
y: 91
width: 18
height: 58

Frames: 1210 to 1211
x: 312
y: 91
width: 18
height: 58

Frame: 1212
x: 310
y: 89
width: 18
height: 58

Frame: 1213
x: 309
y: 89
width: 18
height: 58

Frames: 1214 to 1215
x: 307
y: 93
width: 19
height: 54

Frames: 1216 to 1217
x: 306
y: 93
width: 19
height: 54

Frame: 1218
x: 304
y: 92
width: 19
height: 54

Frame: 1219
x: 303
y: 91
width: 19
height: 54

Frames: 1220 to 1221
x: 302
y: 90
width: 19
height: 54

Frame: 1222
x: 302
y: 94
width: 19
height: 50

Object Number #36
Region Description:
Region 36
Start Frame:825
End Frame:889
Region Descriptors (0):
Region frames data
Frame: 825
x: 286
y: 98
width: 17
height: 46

Frame: 826
x: 287
y: 98
width: 17
height: 46

Frames: 827 to 829
x: 288
y: 99
width: 17
height: 46

Frame: 830
x: 290
y: 100
width: 17
height: 46

Frame: 831
x: 291
y: 100
width: 17
height: 46

Frame: 832
x: 292
y: 100
width: 17
height: 46

Frame: 833
x: 293
y: 99
width: 17
height: 46

Frames: 834 to 836
x: 295
y: 99
width: 17
height: 46

Frame: 837
x: 296
y: 99
width: 17
height: 46

Frame: 838
x: 298
y: 99
width: 17
height: 46

Frame: 839
x: 299
y: 95
width: 18
height: 50

Frame: 840
x: 299
y: 96
width: 18
height: 50

Frames: 841 to 842
x: 302
y: 96
width: 18
height: 50

Frames: 843 to 844
x: 304
y: 97
width: 18
height: 50

Frame: 845
x: 305
y: 97
width: 18
height: 50

Frame: 846
x: 306
y: 97
width: 18
height: 50

Frames: 847 to 848
x: 306
y: 97
width: 20
height: 51

Frame: 849
x: 308
y: 97
width: 20
height: 51

Frame: 850
x: 310
y: 97
width: 20
height: 51

Frame: 851
x: 311
y: 97
width: 20
height: 51

Frame: 852
x: 314
y: 98
width: 20
height: 51

Frame: 853
x: 315
y: 98
width: 20
height: 51

Frame: 854
x: 314
y: 99
width: 24
height: 56

Frames: 855 to 856
x: 317
y: 99
width: 24
height: 56

Frames: 857 to 858
x: 318
y: 92
width: 29
height: 62

Frame: 859
x: 319
y: 92
width: 29
height: 62

Frame: 860
x: 323
y: 92
width: 29
height: 62

Frame: 861
x: 329
y: 95
width: 28
height: 70

Frame: 862
x: 331
y: 95
width: 28
height: 70

Frame: 863
x: 334
y: 96
width: 28
height: 70

Frame: 864
x: 335
y: 97
width: 28
height: 70

Frame: 865
x: 338
y: 97
width: 28
height: 70

Frame: 866
x: 339
y: 98
width: 31
height: 74

Frame: 867
x: 337
y: 94
width: 35
height: 77

Frame: 868
x: 340
y: 98
width: 39
height: 81

Frame: 869
x: 342
y: 98
width: 39
height: 81

Frames: 870 to 871
x: 351
y: 96
width: 35
height: 88

Frame: 872
x: 356
y: 96
width: 35
height: 88

Frame: 873
x: 356
y: 95
width: 35
height: 88

Frame: 874
x: 361
y: 95
width: 37
height: 94

Frame: 875
x: 364
y: 95
width: 37
height: 94

Frame: 876
x: 374
y: 95
width: 36
height: 97

Frame: 877
x: 380
y: 92
width: 36
height: 110

Frame: 878
x: 379
y: 93
width: 39
height: 110

Frame: 879
x: 385
y: 96
width: 39
height: 110

Frame: 880
x: 390
y: 96
width: 39
height: 110

Frame: 881
x: 393
y: 96
width: 39
height: 110

Frame: 882
x: 400
y: 96
width: 39
height: 110

Frame: 883
x: 401
y: 93
width: 46
height: 115

Frame: 884
x: 409
y: 93
width: 46
height: 115

Frame: 885
x: 421
y: 95
width: 46
height: 115

Frame: 886
x: 425
y: 95
width: 51
height: 121

Frame: 887
x: 437
y: 94
width: 46
height: 125

Frame: 888
x: 444
y: 94
width: 39
height: 121

Frame: 889
x: 446
y: 94
width: 37
height: 134

Object Number #37
Region Description:
Region 37
Start Frame:836
End Frame:918
Region Descriptors (0):
Region frames data
Frame: 836
x: 284
y: 97
width: 16
height: 40

Frame: 837
x: 285
y: 97
width: 16
height: 40

Frames: 838 to 843
x: 286
y: 97
width: 16
height: 40

Frames: 844 to 846
x: 288
y: 97
width: 16
height: 40

Frames: 847 to 848
x: 289
y: 97
width: 16
height: 40

Frame: 849
x: 289
y: 97
width: 16
height: 47

Frame: 850
x: 290
y: 97
width: 16
height: 47

Frame: 851
x: 291
y: 97
width: 16
height: 47

Frame: 852
x: 292
y: 98
width: 16
height: 47

Frames: 853 to 854
x: 294
y: 98
width: 16
height: 47

Frame: 855
x: 294
y: 98
width: 19
height: 49

Frame: 856
x: 295
y: 98
width: 19
height: 49

Frames: 857 to 859
x: 297
y: 98
width: 19
height: 49

Frame: 860
x: 297
y: 98
width: 21
height: 52

Frame: 861
x: 297
y: 97
width: 21
height: 52

Frame: 862
x: 299
y: 97
width: 21
height: 52

Frame: 863
x: 300
y: 97
width: 21
height: 52

Frame: 864
x: 301
y: 97
width: 21
height: 52

Frames: 865 to 866
x: 303
y: 98
width: 21
height: 52

Frame: 867
x: 304
y: 98
width: 21
height: 52

Frame: 868
x: 305
y: 96
width: 23
height: 57

Frame: 869
x: 306
y: 96
width: 23
height: 57

Frame: 870
x: 308
y: 97
width: 23
height: 57

Frame: 871
x: 309
y: 97
width: 23
height: 57

Frame: 872
x: 310
y: 97
width: 23
height: 57

Frame: 873
x: 310
y: 95
width: 25
height: 61

Frame: 874
x: 311
y: 95
width: 25
height: 61

Frame: 875
x: 313
y: 97
width: 25
height: 61

Frame: 876
x: 315
y: 93
width: 25
height: 67

Frame: 877
x: 316
y: 93
width: 25
height: 67

Frame: 878
x: 317
y: 93
width: 25
height: 67

Frame: 879
x: 319
y: 94
width: 25
height: 67

Frame: 880
x: 320
y: 94
width: 26
height: 69

Frame: 881
x: 322
y: 95
width: 26
height: 69

Frame: 882
x: 324
y: 95
width: 26
height: 69

Frame: 883
x: 323
y: 90
width: 29
height: 74

Frame: 884
x: 325
y: 90
width: 29
height: 74

Frame: 885
x: 329
y: 92
width: 29
height: 74

Frame: 886
x: 333
y: 94
width: 29
height: 74

Frames: 887 to 888
x: 335
y: 96
width: 29
height: 74

Frame: 889
x: 337
y: 96
width: 29
height: 74

Frame: 890
x: 339
y: 96
width: 30
height: 79

Frame: 891
x: 343
y: 97
width: 30
height: 79

Frames: 892 to 893
x: 344
y: 94
width: 33
height: 85

Frame: 894
x: 347
y: 95
width: 33
height: 85

Frame: 895
x: 348
y: 95
width: 34
height: 88

Frame: 896
x: 350
y: 95
width: 34
height: 88

Frame: 897
x: 351
y: 91
width: 38
height: 96

Frame: 898
x: 358
y: 92
width: 38
height: 96

Frames: 899 to 900
x: 362
y: 94
width: 38
height: 96

Frame: 901
x: 363
y: 94
width: 38
height: 96

Frame: 902
x: 366
y: 95
width: 38
height: 96

Frame: 903
x: 368
y: 95
width: 38
height: 96

Frame: 904
x: 375
y: 95
width: 38
height: 96

Frame: 905
x: 379
